time_s,alt_m,ax_ms2,ay_ms2,az_ms2
0.02,169.78,-0.945,0.936,9.394
0.044,169.78,-2.099,0.038,9.313
0.064,169.86,-2.646,0.017,9.712
0.088,169.92,-2.625,-0.144,9.854
0.113,169.92,-1.773,0.376,10.028
0.133,169.94,-1.448,0.565,9.722
0.157,170.0,-1.706,0.83,9.928
0.177,169.98,-2.254,0.677,9.741
0.201,169.96,-1.304,0.84,9.686
0.355,169.96,-1.247,1.469,9.978
0.375,169.94,-1.651,0.828,9.727
0.399,169.95,-1.965,1.175,10.088
0.419,169.88,-1.692,1.048,9.717
0.443,169.88,-1.522,1.172,9.724
0.463,169.86,-1.373,1.357,9.875
0.487,169.88,-1.223,0.967,9.523
0.507,169.95,-1.347,0.945,9.662
0.531,169.94,-1.357,0.897,9.574
0.556,169.94,-1.249,1.098,9.765
0.703,169.96,-1.448,1.098,9.705
0.723,169.94,-1.61,1.184,9.768
0.743,169.95,-1.658,1.338,9.777
0.767,169.98,-1.204,1.496,9.59
0.792,169.98,-1.151,1.498,9.655
0.812,169.95,-1.419,1.531,9.648
0.836,170.0,-1.146,1.543,9.397
0.856,170.03,-0.909,1.589,9.313
0.88,170.05,-1.12,1.608,9.208
0.905,170.05,-1.51,1.819,9.21
1.052,170.02,-1.213,1.062,8.473
1.072,169.96,-1.507,0.814,8.562
1.092,169.87,-1.759,0.562,8.356
1.116,169.92,-2.029,0.739,8.899
1.141,169.92,-2.874,1.56,10.186
1.161,169.87,-3.005,1.486,10.416
1.185,169.89,-3.039,0.768,9.858
1.205,169.91,-2.821,0.625,9.722
1.229,169.89,-2.283,0.014,9.165
1.254,169.89,-1.247,0.596,9.361
1.401,169.96,-1.228,1.038,9.54
1.421,169.91,-1.251,0.529,9.543
1.441,169.87,-2.11,-0.634,8.681
1.465,169.88,-2.216,-0.785,8.913
1.49,169.88,-1.598,-0.239,9.277
1.51,169.88,-1.35,-0.33,9.181
1.534,169.81,-2.072,-0.921,9.198
1.554,169.9,-2.087,-1.137,9.339
1.578,169.89,-2.381,-0.151,10.445
1.603,169.89,-1.941,-0.768,10.423
1.75,169.89,-1.704,-0.742,13.151
1.77,169.85,-1.28,0.814,13.165
1.79,169.88,-0.986,2.393,13.96
1.814,169.94,-0.424,1.665,12.964
1.839,169.94,0.254,1.015,11.768
1.859,169.96,0.0,0.357,11.091
1.883,169.93,-0.919,0.845,11.141
1.903,170.01,-0.77,0.926,10.914
1.927,169.99,-0.079,2.029,10.564
1.952,169.99,0.017,2.441,9.674
2.099,169.99,1.402,-0.246,5.616
2.119,170.02,0.95,-0.933,5.929
2.139,170.01,0.945,-1.043,6.779
2.163,169.98,1.68,-0.596,7.504
2.188,169.98,1.811,-1.943,7.937
2.208,169.96,1.306,-0.914,8.526
2.232,169.99,1.749,0.074,9.634
2.252,169.92,2.522,0.144,10.246
2.276,169.87,2.759,-2.237,11.562
2.301,169.87,0.818,-0.237,13.89
2.448,169.89,0.486,-0.426,12.701
2.468,169.9,0.175,-0.103,12.924
2.488,169.9,-0.007,-0.325,12.213
2.512,169.89,-0.754,-0.502,10.763
2.537,169.89,-0.498,-0.488,9.064
2.557,169.87,0.089,-0.069,8.791
2.581,169.91,1.137,1.084,9.114
2.601,169.99,1.388,0.804,9.772
2.625,170.01,0.402,0.794,9.686
2.65,170.01,-0.115,-0.156,8.401
2.798,170.09,1.421,1.165,7.908
2.818,170.07,1.785,0.976,8.255
2.842,170.06,1.991,0.61,8.026
2.862,170.03,1.713,0.653,8.296
2.886,170.03,1.431,-0.201,9.849
2.906,169.93,0.988,0.232,11.371
2.93,169.91,0.998,0.677,12.38
2.95,169.95,1.653,0.713,12.086
2.974,169.95,1.548,0.337,11.196
2.994,169.93,0.751,-1.043,10.921
3.147,169.96,0.34,0.768,7.899
3.167,169.98,1.144,1.565,8.298
3.191,169.93,1.756,2.534,9.779
3.211,169.86,1.792,2.692,9.921
3.235,169.83,0.842,1.519,8.131
3.26,169.83,0.38,0.512,6.851
3.28,169.88,0.325,-0.347,6.427
3.304,169.96,0.476,-0.837,7.238
3.324,170.02,0.349,-0.242,8.085
3.348,170.02,1.007,-0.299,7.86
3.496,170.06,1.072,-1.531,12.105
3.516,170.06,0.979,-1.275,12.718
3.54,170.05,1.354,-0.718,12.5
3.56,170.01,1.653,-0.955,11.701
3.584,169.99,1.469,-1.23,11.131
3.609,169.99,-0.156,-1.883,11.971
3.629,170.05,-1.603,-2.338,13.72
3.653,170.06,-2.321,-2.235,13.507
3.673,170.13,-1.321,-2.101,11.055
3.697,170.12,-0.211,-2.419,8.779
3.85,170.12,0.885,-0.531,7.803
3.87,170.11,0.368,-0.668,7.884
3.89,170.12,0.723,-0.254,7.719
3.914,170.16,1.237,0.199,7.815
3.939,170.16,0.744,-0.342,8.14
3.959,170.2,0.653,-0.474,7.923
3.983,170.14,1.271,-0.469,7.274
4.003,170.14,1.524,-0.995,7.746
4.027,170.14,1.507,-1.316,9.813
4.047,170.16,1.618,-0.782,11.249
4.2,170.17,0.237,0.105,12.742
4.22,170.14,-0.792,-0.249,13.031
4.244,170.04,-1.385,-0.701,11.428
4.264,170.06,-0.919,-0.567,8.633
4.288,170.06,-1.043,-1.397,8.518
4.308,170.09,-1.352,-0.546,8.444
4.332,169.99,-0.66,-0.34,8.509
4.352,170.05,-0.507,0.347,8.593
4.376,170.05,0.254,1.012,8.485
4.396,170.1,1.031,0.83,7.222
4.549,170.11,0.292,-1.596,9.93
4.569,170.1,0.416,-1.373,10.071
4.593,170.07,0.4,-2.017,9.873
4.613,170.08,0.433,-1.795,10.201
4.637,170.08,0.541,-1.591,11.11
4.662,170.08,0.313,-0.699,12.794
4.682,170.11,0.225,-0.438,12.792
4.706,170.06,0.309,-1.058,12.359
4.726,170.01,0.005,-1.342,11.66
4.75,170.04,-0.208,-1.436,10.837
4.904,170.04,-0.256,-1.507,7.662
4.924,170.06,-0.546,-0.979,8.289
4.948,170.1,-0.357,-0.553,8.88
4.968,170.11,-0.352,-0.567,8.605
4.992,170.2,-0.498,-0.809,8.119
5.017,170.2,-0.66,-1.362,7.497
5.037,170.25,-0.459,-1.292,7.387
5.061,170.23,0.05,-0.902,7.329
5.081,170.25,0.73,-0.933,7.336
5.105,170.19,0.83,-0.644,7.76
5.259,170.19,-0.081,-0.416,13.199
5.279,170.18,-0.163,-0.304,13.536
5.303,170.06,0.402,-0.031,11.299
5.323,170.12,0.957,0.144,10.349
5.347,170.12,0.756,-0.053,10.315
5.367,170.12,-0.256,-0.208,11.586
5.391,170.11,-1.393,-0.615,11.782
5.411,170.13,-1.373,-0.548,11.261
5.435,170.08,-0.866,-0.232,9.349
